family_id,item_id,condition,context_text,target_sentence,option_A,option_B,option_C,option_D,option_semantic_map,gold_semantic,gold_letter,design_gold_semantic,gold_shifted,margin,stable_keep_all_pools
F07,F07_ba,ba,小李和小姜想临时找一个地方谈事情，公司里有几间大家都可以使用的会议室。两人提到离他们最近的一间后，小姜说了一句：,那间会议室现在空着吧,小姜倾向于认为那间会议室现在空着，但不完全确定，希望小李确认,小姜比较确定那间会议室现在空着，是在告诉小李,小姜只是在询问那间会议室是否空着，没有明显倾向,小姜认为那间会议室的环境比其他会议室更好,A:confirmation|B:statement|C:neutral|D:distractor,confirmation,A,confirmation,False,1,True
F07,F07_ma,ma,小李和小姜想临时找一个地方谈事情，公司里有几间大家都可以使用的会议室。两人提到离他们最近的一间后，小姜说了一句：,那间会议室现在空着吗,小姜倾向于认为那间会议室现在空着，但不完全确定，希望小李确认,小姜比较确定那间会议室现在空着，是在告诉小李,小姜只是在询问那间会议室是否空着，没有明显倾向,小姜认为那间会议室的环境比其他会议室更好,A:confirmation|B:statement|C:neutral|D:distractor,neutral,C,neutral,False,2,True
F14,F14_bare,bare,几个朋友正在群里聊一部最近非常火的美剧，小陈和小周都说自己看过，小张还没看，此时只有小李不在线。小陈随后在群里说了一句：,小李也看过这部美剧,小陈在提议等小李上线后一起讨论这部美剧,小陈比较确定小李也看过这部美剧，是在告诉大家,小陈只是在询问小李是否也看过这部美剧，没有明显倾向,小陈倾向于认为小李也看过这部美剧，但不完全确定，希望小李之后确认,A:distractor|B:statement|C:neutral|D:confirmation,statement,B,statement,False,3,False
F14,F14_ba,ba,几个朋友正在群里聊一部最近非常火的美剧，小陈和小周都说自己看过，小张还没看，此时只有小李不在线。小陈随后在群里说了一句：,小李也看过这部美剧吧,小陈在提议等小李上线后一起讨论这部美剧,小陈比较确定小李也看过这部美剧，是在告诉大家,小陈只是在询问小李是否也看过这部美剧，没有明显倾向,小陈倾向于认为小李也看过这部美剧，但不完全确定，希望小李之后确认,A:distractor|B:statement|C:neutral|D:confirmation,confirmation,D,confirmation,False,1,False
F14,F14_ma,ma,几个朋友正在群里聊一部最近非常火的美剧，小陈和小周都说自己看过，小张还没看，此时只有小李不在线。小陈随后在群里说了一句：,小李也看过这部美剧吗,小陈在提议等小李上线后一起讨论这部美剧,小陈比较确定小李也看过这部美剧，是在告诉大家,小陈只是在询问小李是否也看过这部美剧，没有明显倾向,小陈倾向于认为小李也看过这部美剧，但不完全确定，希望小李之后确认,A:distractor|B:statement|C:neutral|D:confirmation,neutral,C,neutral,False,1,False
F15,F15_bare,bare,阿新和阿雅正在咖啡厅里商量明天几个朋友聚餐的事情，聊天中提到了朋友阿杰。阿新说了一句：,他明天也来,阿新倾向于认为阿杰明天会来聚餐，但不完全确定，希望阿雅确认,阿新比较确定阿杰明天也会来聚餐，是在告诉阿雅,阿新想知道阿杰明天几点到,阿新只是在询问阿雅阿杰明天是否会来聚餐，没有明显倾向,A:confirmation|B:statement|C:distractor|D:neutral,statement,B,statement,False,3,True
F15,F15_ba,ba,阿新和阿雅正在咖啡厅里商量明天几个朋友聚餐的事情，聊天中提到了朋友阿杰。阿新说了一句：,他明天也来吧,阿新倾向于认为阿杰明天会来聚餐，但不完全确定，希望阿雅确认,阿新比较确定阿杰明天也会来聚餐，是在告诉阿雅,阿新想知道阿杰明天几点到,阿新只是在询问阿雅阿杰明天是否会来聚餐，没有明显倾向,A:confirmation|B:statement|C:distractor|D:neutral,confirmation,A,confirmation,False,3,True
F15,F15_ma,ma,阿新和阿雅正在咖啡厅里商量明天几个朋友聚餐的事情，聊天中提到了朋友阿杰。阿新说了一句：,他明天也来吗,阿新倾向于认为阿杰明天会来聚餐，但不完全确定，希望阿雅确认,阿新比较确定阿杰明天也会来聚餐，是在告诉阿雅,阿新想知道阿杰明天几点到,阿新只是在询问阿雅阿杰明天是否会来聚餐，没有明显倾向,A:confirmation|B:statement|C:distractor|D:neutral,neutral,D,neutral,False,3,True
F16,F16_bare,bare,几个朋友晚上正在群里视频聊天，聊天中提到了不在线的小欣，小涵随后说了一句：,她晚点也会和我们视频,小涵比较确定小欣晚点也会来视频，是在告诉大家,小涵只是在询问大家小欣晚点是否也会来视频，没有明显倾向,小涵倾向于认为小欣晚点也会来和大家视频，但不完全确定，希望大家确认,小涵认为小欣这次参加视频聊天的时间不会很长,A:statement|B:neutral|C:confirmation|D:distractor,statement,A,statement,False,3,True
F16,F16_ba,ba,几个朋友晚上正在群里视频聊天，聊天中提到了不在线的小欣，小涵随后说了一句：,她晚点也会和我们视频吧,小涵比较确定小欣晚点也会来视频，是在告诉大家,小涵只是在询问大家小欣晚点是否也会来视频，没有明显倾向,小涵倾向于认为小欣晚点也会来和大家视频，但不完全确定，希望大家确认,小涵认为小欣这次参加视频聊天的时间不会很长,A:statement|B:neutral|C:confirmation|D:distractor,confirmation,C,confirmation,False,3,True
F16,F16_ma,ma,几个朋友晚上正在群里视频聊天，聊天中提到了不在线的小欣，小涵随后说了一句：,她晚点也会和我们视频吗,小涵比较确定小欣晚点也会来视频，是在告诉大家,小涵只是在询问大家小欣晚点是否也会来视频，没有明显倾向,小涵倾向于认为小欣晚点也会来和大家视频，但不完全确定，希望大家确认,小涵认为小欣这次参加视频聊天的时间不会很长,A:statement|B:neutral|C:confirmation|D:distractor,neutral,B,neutral,False,3,True
F17,F17_bare,bare,几个朋友正在群里商量周末开车去郊外露营，他们以前都喜欢走风景最好的那条路，不过上一次去时正在施工，他们已经很久没去了，现在在规划路线。小齐在群里说了一句：,那条路现在还在施工,小齐比较确定那条路现在还在施工，是在告诉大家,小齐倾向于认为那条路现在还在施工，但不完全确定，希望大家确认,小齐想知道那条路什么时候可以结束施工,小齐只是在询问那条路现在是不是还在施工，没有明显倾向,A:statement|B:confirmation|C:distractor|D:neutral,statement,A,statement,False,3,False
F17,F17_ba,ba,几个朋友正在群里商量周末开车去郊外露营，他们以前都喜欢走风景最好的那条路，不过上一次去时正在施工，他们已经很久没去了，现在在规划路线。小齐在群里说了一句：,那条路现在还在施工吧,小齐比较确定那条路现在还在施工，是在告诉大家,小齐倾向于认为那条路现在还在施工，但不完全确定，希望大家确认,小齐想知道那条路什么时候可以结束施工,小齐只是在询问那条路现在是不是还在施工，没有明显倾向,A:statement|B:confirmation|C:distractor|D:neutral,confirmation,B,confirmation,False,1,False
F17,F17_ma,ma,几个朋友正在群里商量周末开车去郊外露营，他们以前都喜欢走风景最好的那条路，不过上一次去时正在施工，他们已经很久没去了，现在在规划路线。小齐在群里说了一句：,那条路现在还在施工吗,小齐比较确定那条路现在还在施工，是在告诉大家,小齐倾向于认为那条路现在还在施工，但不完全确定，希望大家确认,小齐想知道那条路什么时候可以结束施工,小齐只是在询问那条路现在是不是还在施工，没有明显倾向,A:statement|B:confirmation|C:distractor|D:neutral,neutral,D,neutral,False,1,False
F20,F20_bare,bare,项目组成员正在工作群里讨论后面几天的测试安排，聊天中提到了国外合作方要寄来的一批样品。小赵随后在群里发了一句：,那批样品明天下午到,小赵比较确定那批样品明天下午到，是在告诉大家,小赵只是在询问那批样品是否是明天下午到，没有明显倾向,小赵倾向于认为那批样品明天下午到，但不完全确定，希望大家确认,小赵好奇那批样品是否已经寄出了,A:statement|B:neutral|C:confirmation|D:distractor,statement,A,statement,False,3,False
F20,F20_ba,ba,项目组成员正在工作群里讨论后面几天的测试安排，聊天中提到了国外合作方要寄来的一批样品。小赵随后在群里发了一句：,那批样品明天下午到吧,小赵比较确定那批样品明天下午到，是在告诉大家,小赵只是在询问那批样品是否是明天下午到，没有明显倾向,小赵倾向于认为那批样品明天下午到，但不完全确定，希望大家确认,小赵好奇那批样品是否已经寄出了,A:statement|B:neutral|C:confirmation|D:distractor,confirmation,C,confirmation,False,3,False
F20,F20_ma,ma,项目组成员正在工作群里讨论后面几天的测试安排，聊天中提到了国外合作方要寄来的一批样品。小赵随后在群里发了一句：,那批样品明天下午到吗,小赵比较确定那批样品明天下午到，是在告诉大家,小赵只是在询问那批样品是否是明天下午到，没有明显倾向,小赵倾向于认为那批样品明天下午到，但不完全确定，希望大家确认,小赵好奇那批样品是否已经寄出了,A:statement|B:neutral|C:confirmation|D:distractor,neutral,B,neutral,False,1,False
F21,F21_bare,bare,小林和小张周末去逛花鸟市场，路过一家新开的花店，开在小雨家的两家花店旁边，小雨是两人的同班同学，家里从事花卉生意。小林看到那家店后说了一句：,那家花店是小雨家开的,小林倾向于认为那家花店是小雨家开的，但不完全确定，希望小张确认,小林只是在询问那家花店是不是小雨家开的，没有明显倾向,小林在邀请小张去逛一逛那家花店,小林比较确定那家花店是小雨家开的，是在告诉小张,A:confirmation|B:neutral|C:distractor|D:statement,statement,D,statement,False,3,True
F21,F21_ba,ba,小林和小张周末去逛花鸟市场，路过一家新开的花店，开在小雨家的两家花店旁边，小雨是两人的同班同学，家里从事花卉生意。小林看到那家店后说了一句：,那家花店是小雨家开的吧,小林倾向于认为那家花店是小雨家开的，但不完全确定，希望小张确认,小林只是在询问那家花店是不是小雨家开的，没有明显倾向,小林在邀请小张去逛一逛那家花店,小林比较确定那家花店是小雨家开的，是在告诉小张,A:confirmation|B:neutral|C:distractor|D:statement,confirmation,A,confirmation,False,1,True
F21,F21_ma,ma,小林和小张周末去逛花鸟市场，路过一家新开的花店，开在小雨家的两家花店旁边，小雨是两人的同班同学，家里从事花卉生意。小林看到那家店后说了一句：,那家花店是小雨家开的吗,小林倾向于认为那家花店是小雨家开的，但不完全确定，希望小张确认,小林只是在询问那家花店是不是小雨家开的，没有明显倾向,小林在邀请小张去逛一逛那家花店,小林比较确定那家花店是小雨家开的，是在告诉小张,A:confirmation|B:neutral|C:distractor|D:statement,neutral,B,neutral,False,3,True
F23,F23_bare,bare,几个朋友正在群里聊大学时组织的一些活动，聊到了当时举办的一场足球比赛。小林在群里发了一句：,那场比赛是校内赛,小林倾向于认为那场比赛是校内赛，但不完全确定，希望大家确认,小林比较确定那场比赛是校内赛，是在告诉大家,小林建议大家找机会再组织一场比赛,小林只是在询问那场比赛是否是校内赛，没有明显倾向,A:confirmation|B:statement|C:distractor|D:neutral,statement,B,statement,False,3,True
F23,F23_ba,ba,几个朋友正在群里聊大学时组织的一些活动，聊到了当时举办的一场足球比赛。小林在群里发了一句：,那场比赛是校内赛吧,小林倾向于认为那场比赛是校内赛，但不完全确定，希望大家确认,小林比较确定那场比赛是校内赛，是在告诉大家,小林建议大家找机会再组织一场比赛,小林只是在询问那场比赛是否是校内赛，没有明显倾向,A:confirmation|B:statement|C:distractor|D:neutral,confirmation,A,confirmation,False,3,True
F23,F23_ma,ma,几个朋友正在群里聊大学时组织的一些活动，聊到了当时举办的一场足球比赛。小林在群里发了一句：,那场比赛是校内赛吗,小林倾向于认为那场比赛是校内赛，但不完全确定，希望大家确认,小林比较确定那场比赛是校内赛，是在告诉大家,小林建议大家找机会再组织一场比赛,小林只是在询问那场比赛是否是校内赛，没有明显倾向,A:confirmation|B:statement|C:distractor|D:neutral,neutral,D,neutral,False,3,True
F24,F24_bare,bare,几个同事正在工作群里整理前几年一个项目留下的材料，发现了一份没有署名的旧报告，他们都是这个项目结束以后才入职的，不过对公司过往的项目安排略有了解。小陈随后发了一句：,这份旧报告来自外包团队,小陈在建议大家一起读一下这份旧报告,小陈比较确定这份旧报告来自外包团队，是在告诉大家,小陈倾向于认为这份旧报告来自外包团队，但不完全确定，希望大家确认,小陈只是在询问这份旧报告是否来自外包团队，没有明显倾向,A:distractor|B:statement|C:confirmation|D:neutral,statement,B,statement,False,3,True
F24,F24_ba,ba,几个同事正在工作群里整理前几年一个项目留下的材料，发现了一份没有署名的旧报告，他们都是这个项目结束以后才入职的，不过对公司过往的项目安排略有了解。小陈随后发了一句：,这份旧报告来自外包团队吧,小陈在建议大家一起读一下这份旧报告,小陈比较确定这份旧报告来自外包团队，是在告诉大家,小陈倾向于认为这份旧报告来自外包团队，但不完全确定，希望大家确认,小陈只是在询问这份旧报告是否来自外包团队，没有明显倾向,A:distractor|B:statement|C:confirmation|D:neutral,confirmation,C,confirmation,False,3,True
F24,F24_ma,ma,几个同事正在工作群里整理前几年一个项目留下的材料，发现了一份没有署名的旧报告，他们都是这个项目结束以后才入职的，不过对公司过往的项目安排略有了解。小陈随后发了一句：,这份旧报告来自外包团队吗,小陈在建议大家一起读一下这份旧报告,小陈比较确定这份旧报告来自外包团队，是在告诉大家,小陈倾向于认为这份旧报告来自外包团队，但不完全确定，希望大家确认,小陈只是在询问这份旧报告是否来自外包团队，没有明显倾向,A:distractor|B:statement|C:confirmation|D:neutral,neutral,D,neutral,False,3,True
F25,F25_bare,bare,小赵和小孙见面时聊起以前一起住过的老小区，他们已经搬走，偶尔会从以前的邻居那里听到一些小区近况。聊到停车的问题时，小赵说了一句：,老小区的停车费现在按月收费,小赵对老小区的停车费现在按月收费一事感到惊讶,小赵倾向于认为老小区的停车费现在按月收费，但不完全确定，希望小孙确认,小赵只是在询问老小区的停车费现在是否按月收费，没有明显倾向,小赵比较确定老小区的停车费现在按月收费，是在告诉小孙,A:distractor|B:confirmation|C:neutral|D:statement,statement,D,statement,False,3,False
F25,F25_ba,ba,小赵和小孙见面时聊起以前一起住过的老小区，他们已经搬走，偶尔会从以前的邻居那里听到一些小区近况。聊到停车的问题时，小赵说了一句：,老小区的停车费现在按月收费吧,小赵对老小区的停车费现在按月收费一事感到惊讶,小赵倾向于认为老小区的停车费现在按月收费，但不完全确定，希望小孙确认,小赵只是在询问老小区的停车费现在是否按月收费，没有明显倾向,小赵比较确定老小区的停车费现在按月收费，是在告诉小孙,A:distractor|B:confirmation|C:neutral|D:statement,confirmation,B,confirmation,False,1,False
F25,F25_ma,ma,小赵和小孙见面时聊起以前一起住过的老小区，他们已经搬走，偶尔会从以前的邻居那里听到一些小区近况。聊到停车的问题时，小赵说了一句：,老小区的停车费现在按月收费吗,小赵对老小区的停车费现在按月收费一事感到惊讶,小赵倾向于认为老小区的停车费现在按月收费，但不完全确定，希望小孙确认,小赵只是在询问老小区的停车费现在是否按月收费，没有明显倾向,小赵比较确定老小区的停车费现在按月收费，是在告诉小孙,A:distractor|B:confirmation|C:neutral|D:statement,neutral,C,neutral,False,3,False
F27,F27_bare,bare,几个朋友在群里商量周末去山里徒步，他们去年去过好几次了，习惯从山脚的步道开始走。最近经常下雨，小李在群里发了一句：,山脚那段步道最近积水很严重,小李倾向于认为山脚那段步道最近积水很严重，但不完全确定，希望大家确认,小李在抱怨山脚那段步道最近积水很严重,小李只是在询问山脚那段步道最近积水是否很严重，没有明显倾向,小李比较确定山脚那段步道最近积水很严重，是在告诉大家,A:confirmation|B:distractor|C:neutral|D:statement,statement,D,statement,False,3,True
F27,F27_ba,ba,几个朋友在群里商量周末去山里徒步，他们去年去过好几次了，习惯从山脚的步道开始走。最近经常下雨，小李在群里发了一句：,山脚那段步道最近积水很严重吧,小李倾向于认为山脚那段步道最近积水很严重，但不完全确定，希望大家确认,小李在抱怨山脚那段步道最近积水很严重,小李只是在询问山脚那段步道最近积水是否很严重，没有明显倾向,小李比较确定山脚那段步道最近积水很严重，是在告诉大家,A:confirmation|B:distractor|C:neutral|D:statement,confirmation,A,confirmation,False,1,True
F27,F27_ma,ma,几个朋友在群里商量周末去山里徒步，他们去年去过好几次了，习惯从山脚的步道开始走。最近经常下雨，小李在群里发了一句：,山脚那段步道最近积水很严重吗,小李倾向于认为山脚那段步道最近积水很严重，但不完全确定，希望大家确认,小李在抱怨山脚那段步道最近积水很严重,小李只是在询问山脚那段步道最近积水是否很严重，没有明显倾向,小李比较确定山脚那段步道最近积水很严重，是在告诉大家,A:confirmation|B:distractor|C:neutral|D:statement,neutral,C,neutral,False,3,True
F28,F28_bare,bare,小万和小吴正在线上讨论怎么找几年前的一批业务记录，他们想到了公司以前使用的旧系统，现在被保存在资料室的电脑中。小吴说了一句：,旧系统目前还能用,小吴只是在询问旧系统目前还能不能用，没有明显倾向,小吴在建议小万现在就去资料室使用那台电脑,小吴倾向于认为旧系统目前还能用，但不完全确定，希望小万确认,小吴比较确定旧系统目前还能用，是在告诉小万,A:neutral|B:distractor|C:confirmation|D:statement,statement,D,statement,False,3,True
F28,F28_ba,ba,小万和小吴正在线上讨论怎么找几年前的一批业务记录，他们想到了公司以前使用的旧系统，现在被保存在资料室的电脑中。小吴说了一句：,旧系统目前还能用吧,小吴只是在询问旧系统目前还能不能用，没有明显倾向,小吴在建议小万现在就去资料室使用那台电脑,小吴倾向于认为旧系统目前还能用，但不完全确定，希望小万确认,小吴比较确定旧系统目前还能用，是在告诉小万,A:neutral|B:distractor|C:confirmation|D:statement,confirmation,C,confirmation,False,1,True
F28,F28_ma,ma,小万和小吴正在线上讨论怎么找几年前的一批业务记录，他们想到了公司以前使用的旧系统，现在被保存在资料室的电脑中。小吴说了一句：,旧系统目前还能用吗,小吴只是在询问旧系统目前还能不能用，没有明显倾向,小吴在建议小万现在就去资料室使用那台电脑,小吴倾向于认为旧系统目前还能用，但不完全确定，希望小万确认,小吴比较确定旧系统目前还能用，是在告诉小万,A:neutral|B:distractor|C:confirmation|D:statement,neutral,A,neutral,False,2,True
F30,F30_bare,bare,小苏和小佳正在选择处理外贸订单的人员，她们聊到了部门里几位同事的语言背景，包括最近入职的小亮，他曾经处理过多个国家的外贸订单。小佳随后说了一句：,小亮会两门外语,小佳只是在询问小亮是否会两门外语，没有明显倾向,小佳认为小亮最近在学习两门外语,小佳比较确定小亮会两门外语，是在告诉小苏,小佳倾向于认为小亮会两门外语，但不完全确定，希望小苏确认,A:neutral|B:distractor|C:statement|D:confirmation,statement,C,statement,False,2,True
F30,F30_ba,ba,小苏和小佳正在选择处理外贸订单的人员，她们聊到了部门里几位同事的语言背景，包括最近入职的小亮，他曾经处理过多个国家的外贸订单。小佳随后说了一句：,小亮会两门外语吧,小佳只是在询问小亮是否会两门外语，没有明显倾向,小佳认为小亮最近在学习两门外语,小佳比较确定小亮会两门外语，是在告诉小苏,小佳倾向于认为小亮会两门外语，但不完全确定，希望小苏确认,A:neutral|B:distractor|C:statement|D:confirmation,confirmation,D,confirmation,False,3,True
F30,F30_ma,ma,小苏和小佳正在选择处理外贸订单的人员，她们聊到了部门里几位同事的语言背景，包括最近入职的小亮，他曾经处理过多个国家的外贸订单。小佳随后说了一句：,小亮会两门外语吗,小佳只是在询问小亮是否会两门外语，没有明显倾向,小佳认为小亮最近在学习两门外语,小佳比较确定小亮会两门外语，是在告诉小苏,小佳倾向于认为小亮会两门外语，但不完全确定，希望小苏确认,A:neutral|B:distractor|C:statement|D:confirmation,neutral,A,neutral,False,3,True
F32,F32_bare,bare,工作群里在安排一件需要跨组配合的事，聊到该找谁对接，有人提到了小唐。小林随后在群里说了一句：,小唐调到别的组了,小林倾向于认为小唐调到别的组了，但不完全确定，希望大家确认,小林只是在询问小唐是不是调到别的组了，没有明显倾向,小林比较确定小唐调到别的组了，是在告诉大家,小林在提议让小唐牵头对接这件事,A:confirmation|B:neutral|C:statement|D:distractor,statement,C,statement,False,3,False
F32,F32_ba,ba,工作群里在安排一件需要跨组配合的事，聊到该找谁对接，有人提到了小唐。小林随后在群里说了一句：,小唐调到别的组了吧,小林倾向于认为小唐调到别的组了，但不完全确定，希望大家确认,小林只是在询问小唐是不是调到别的组了，没有明显倾向,小林比较确定小唐调到别的组了，是在告诉大家,小林在提议让小唐牵头对接这件事,A:confirmation|B:neutral|C:statement|D:distractor,confirmation,A,confirmation,False,1,False
F32,F32_ma,ma,工作群里在安排一件需要跨组配合的事，聊到该找谁对接，有人提到了小唐。小林随后在群里说了一句：,小唐调到别的组了吗,小林倾向于认为小唐调到别的组了，但不完全确定，希望大家确认,小林只是在询问小唐是不是调到别的组了，没有明显倾向,小林比较确定小唐调到别的组了，是在告诉大家,小林在提议让小唐牵头对接这件事,A:confirmation|B:neutral|C:statement|D:distractor,neutral,B,neutral,False,2,False
F34,F34_bare,bare,小江和小吴在办公室讨论公司秋季的项目安排，聊天中提到公司正在准备新的实验室。小吴随后说了一句：,新实验室九月启用,小吴在催大家赶紧把搬进新实验室的准备做完,小吴倾向于认为新实验室九月启用，但不完全确定，希望小江确认,小吴比较确定新实验室九月启用，是在告诉小江,小吴只是在询问新实验室是否是九月启用，没有明显倾向,A:distractor|B:confirmation|C:statement|D:neutral,statement,C,statement,False,3,True
F34,F34_ba,ba,小江和小吴在办公室讨论公司秋季的项目安排，聊天中提到公司正在准备新的实验室。小吴随后说了一句：,新实验室九月启用吧,小吴在催大家赶紧把搬进新实验室的准备做完,小吴倾向于认为新实验室九月启用，但不完全确定，希望小江确认,小吴比较确定新实验室九月启用，是在告诉小江,小吴只是在询问新实验室是否是九月启用，没有明显倾向,A:distractor|B:confirmation|C:statement|D:neutral,confirmation,B,confirmation,False,3,True
F34,F34_ma,ma,小江和小吴在办公室讨论公司秋季的项目安排，聊天中提到公司正在准备新的实验室。小吴随后说了一句：,新实验室九月启用吗,小吴在催大家赶紧把搬进新实验室的准备做完,小吴倾向于认为新实验室九月启用，但不完全确定，希望小江确认,小吴比较确定新实验室九月启用，是在告诉小江,小吴只是在询问新实验室是否是九月启用，没有明显倾向,A:distractor|B:confirmation|C:statement|D:neutral,neutral,D,neutral,False,3,True
F35,F35_bare,bare,几个朋友正在群里商量毕业答辩后一起聚餐的时间，其他几个人都发出了自己的具体答辩时间，小陈暂时还没有上线。小张说了一句：,小陈的答辩安排在下周四,小张比较确定小陈的答辩安排在下周四，是在告诉大家,小张只是在询问小陈的答辩是否安排在下周四，没有明显倾向,小张觉得小陈的答辩时间安排得比较晚,小张倾向于认为小陈的答辩安排在下周四，但不完全确定，希望小陈之后确认,A:statement|B:neutral|C:distractor|D:confirmation,statement,A,statement,False,3,False
F35,F35_ba,ba,几个朋友正在群里商量毕业答辩后一起聚餐的时间，其他几个人都发出了自己的具体答辩时间，小陈暂时还没有上线。小张说了一句：,小陈的答辩安排在下周四吧,小张比较确定小陈的答辩安排在下周四，是在告诉大家,小张只是在询问小陈的答辩是否安排在下周四，没有明显倾向,小张觉得小陈的答辩时间安排得比较晚,小张倾向于认为小陈的答辩安排在下周四，但不完全确定，希望小陈之后确认,A:statement|B:neutral|C:distractor|D:confirmation,confirmation,D,confirmation,False,1,False
F35,F35_ma,ma,几个朋友正在群里商量毕业答辩后一起聚餐的时间，其他几个人都发出了自己的具体答辩时间，小陈暂时还没有上线。小张说了一句：,小陈的答辩安排在下周四吗,小张比较确定小陈的答辩安排在下周四，是在告诉大家,小张只是在询问小陈的答辩是否安排在下周四，没有明显倾向,小张觉得小陈的答辩时间安排得比较晚,小张倾向于认为小陈的答辩安排在下周四，但不完全确定，希望小陈之后确认,A:statement|B:neutral|C:distractor|D:confirmation,neutral,B,neutral,False,1,False
F36,F36_bare,bare,部门成员正在工作群里讨论接下来几周的工作安排，有人提到了前段时间提交给外部机构的一项评审，具体结果会影响后续的安排，小宋在群里发了一句：,评审结果下周一出来,小宋比较确定评审结果下周一出来，是在告诉大家,小宋倾向于认为评审结果下周一出来，但不完全确定，希望大家确认,小宋只是在询问评审结果是否下周一出来，没有明显倾向,小宋认为这次的评审结果会比较理想,A:statement|B:confirmation|C:neutral|D:distractor,statement,A,statement,False,3,True
