family_id,item_id,condition,Econ_semantic,Materials_semantic,EngLit_semantic,reference_label,reference_valid,target_semantic,agree,disagreement_direction,target_naturalness,target_hesitation,target_no_option_flag,Econ_no_option_flag,Materials_no_option_flag,EngLit_no_option_flag
F15,F15_ma,ma,neutral,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F16,F16_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F16,F16_ba,ba,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F16,F16_ma,ma,neutral,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F17,F17_bare,bare,confirmation,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F17,F17_ba,ba,confirmation,confirmation,statement,confirmation,True,confirmation,True,,5,False,False,False,False,True
F17,F17_ma,ma,confirmation,neutral,distractor,,False,neutral,,,5,False,False,False,False,False
F18,F18_bare,bare,confirmation,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F18,F18_ba,ba,confirmation,neutral,neutral,neutral,True,confirmation,False,neutral->confirmation,5,False,False,False,False,False
F18,F18_ma,ma,confirmation,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F19,F19_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F19,F19_ba,ba,statement,confirmation,neutral,,False,confirmation,,,5,False,False,False,False,False
F19,F19_ma,ma,confirmation,neutral,statement,,False,confirmation,,,5,False,False,False,False,False
F20,F20_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F20,F20_ba,ba,statement,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F20,F20_ma,ma,confirmation,neutral,neutral,neutral,True,confirmation,False,neutral->confirmation,5,False,False,False,False,False
F21,F21_bare,bare,distractor,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F21,F21_ba,ba,confirmation,confirmation,statement,confirmation,True,confirmation,True,,5,False,False,False,False,True
F21,F21_ma,ma,distractor,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F22,F22_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,True
F22,F22_ba,ba,distractor,statement,confirmation,,False,neutral,,,5,False,False,False,False,True
F22,F22_ma,ma,confirmation,confirmation,neutral,confirmation,True,neutral,False,confirmation->neutral,5,False,False,False,False,True
F23,F23_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F23,F23_ba,ba,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F23,F23_ma,ma,confirmation,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F24,F24_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F24,F24_ba,ba,statement,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F24,F24_ma,ma,neutral,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F25,F25_bare,bare,statement,statement,statement,statement,True,statement,True,,3,False,False,False,False,False
F25,F25_ba,ba,distractor,confirmation,statement,,False,confirmation,,,5,False,False,False,False,False
F25,F25_ma,ma,statement,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F26,F26_bare,bare,confirmation,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F26,F26_ba,ba,statement,confirmation,confirmation,,False,confirmation,,,5,False,False,False,False,True
F26,F26_ma,ma,confirmation,,neutral,,False,confirmation,,,5,True,False,False,True,False
F27,F27_bare,bare,confirmation,statement,statement,,False,statement,,,5,False,False,False,False,True
F27,F27_ba,ba,confirmation,confirmation,distractor,confirmation,True,confirmation,True,,5,False,False,False,False,True
F27,F27_ma,ma,confirmation,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F28,F28_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F28,F28_ba,ba,confirmation,neutral,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F28,F28_ma,ma,confirmation,,neutral,,False,neutral,,,5,False,False,False,True,False
F29,F29_bare,bare,statement,statement,distractor,statement,True,statement,True,,5,False,False,False,False,False
F29,F29_ba,ba,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,True
F29,F29_ma,ma,neutral,neutral,distractor,neutral,True,confirmation,False,neutral->confirmation,5,False,False,False,False,False
F30,F30_bare,bare,statement,,statement,,False,statement,,,5,False,False,False,True,True
F30,F30_ba,ba,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F30,F30_ma,ma,confirmation,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F31,F31_bare,bare,distractor,distractor,distractor,distractor,True,statement,False,distractor->statement,5,False,False,False,False,False
F31,F31_ba,ba,distractor,neutral,distractor,distractor,True,distractor,True,,5,True,False,False,False,False
F31,F31_ma,ma,distractor,neutral,confirmation,,False,confirmation,,,5,False,False,False,False,False
F32,F32_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F32,F32_ba,ba,statement,statement,confirmation,statement,True,confirmation,False,statement->confirmation,5,False,False,False,False,False
F32,F32_ma,ma,confirmation,,neutral,,False,neutral,,,5,False,True,False,True,False
F33,F33_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,True
F33,F33_ba,ba,statement,statement,statement,statement,True,confirmation,False,statement->confirmation,5,False,False,False,False,True
F33,F33_ma,ma,statement,confirmation,confirmation,,False,neutral,,,5,False,False,False,False,True
F34,F34_bare,bare,statement,statement,statement,statement,True,statement,True,,4,False,False,False,False,False
F34,F34_ba,ba,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F34,F34_ma,ma,neutral,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F35,F35_bare,bare,confirmation,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F35,F35_ba,ba,confirmation,neutral,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F35,F35_ma,ma,statement,neutral,neutral,neutral,True,confirmation,False,neutral->confirmation,5,False,False,False,False,False
F36,F36_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,True
F36,F36_ba,ba,neutral,,confirmation,,False,confirmation,,,5,False,False,False,True,True
F36,F36_ma,ma,neutral,neutral,neutral,neutral,True,confirmation,False,neutral->confirmation,5,False,False,False,False,False
