set,family_id,item_id,condition,n_models,n_hit_gold,hit_rate,modal_choice,modal_choice_count,converged,shortcut_risk
confirmatory,F23,F23_ma,ma,6,4,0.6666666666666666,D,4,True,True
confirmatory,F24,F24_bare,bare,6,0,0.0,C,4,True,False
confirmatory,F24,F24_ba,ba,6,5,0.8333333333333334,C,5,True,True
confirmatory,F24,F24_ma,ma,6,1,0.16666666666666666,C,4,True,False
confirmatory,F25,F25_bare,bare,6,1,0.16666666666666666,B,3,False,False
confirmatory,F25,F25_ba,ba,6,3,0.5,B,3,False,False
confirmatory,F25,F25_ma,ma,6,2,0.3333333333333333,B,3,False,False
confirmatory,F27,F27_bare,bare,6,1,0.16666666666666666,C,3,False,False
confirmatory,F27,F27_ba,ba,6,2,0.3333333333333333,C,3,False,False
confirmatory,F27,F27_ma,ma,6,3,0.5,C,3,False,False
confirmatory,F28,F28_bare,bare,6,0,0.0,C,4,True,False
confirmatory,F28,F28_ba,ba,6,3,0.5,C,3,False,False
confirmatory,F28,F28_ma,ma,6,2,0.3333333333333333,C,3,False,False
confirmatory,F30,F30_bare,bare,6,1,0.16666666666666666,D,4,True,False
confirmatory,F30,F30_ba,ba,6,4,0.6666666666666666,D,4,True,True
confirmatory,F30,F30_ma,ma,6,1,0.16666666666666666,D,4,True,False
confirmatory,F32,F32_bare,bare,6,1,0.16666666666666666,A,2,False,False
confirmatory,F32,F32_ba,ba,6,2,0.3333333333333333,A,2,False,False
confirmatory,F32,F32_ma,ma,6,3,0.5,B,3,False,False
confirmatory,F34,F34_bare,bare,6,0,0.0,B,5,True,False
confirmatory,F34,F34_ba,ba,6,4,0.6666666666666666,B,4,True,True
confirmatory,F34,F34_ma,ma,6,0,0.0,B,4,True,False
confirmatory,F35,F35_bare,bare,6,0,0.0,D,4,True,False
confirmatory,F35,F35_ba,ba,6,3,0.5,D,3,False,False
confirmatory,F35,F35_ma,ma,6,1,0.16666666666666666,D,3,False,False
confirmatory,F36,F36_bare,bare,6,0,0.0,B,3,False,False
confirmatory,F36,F36_ba,ba,6,2,0.3333333333333333,C,3,False,False
confirmatory,F36,F36_ma,ma,6,4,0.6666666666666666,C,4,True,True
exploratory,F06,F06_bare,bare,6,1,0.16666666666666666,C,4,True,False
exploratory,F06,F06_ba,ba,6,0,0.0,C,4,True,False
exploratory,F06,F06_ma,ma,6,0,0.0,C,5,True,False
exploratory,F11,F11_bare,bare,6,0,0.0,C,4,True,False
exploratory,F11,F11_ba,ba,6,4,0.6666666666666666,C,4,True,True
exploratory,F11,F11_ma,ma,6,4,0.6666666666666666,C,4,True,True
exploratory,F12,F12_bare,bare,6,0,0.0,B,3,False,False
exploratory,F12,F12_ba,ba,6,2,0.3333333333333333,C,3,False,False
exploratory,F12,F12_ma,ma,6,3,0.5,B,3,False,False
exploratory,F13,F13_bare,bare,6,1,0.16666666666666666,B,3,False,False
exploratory,F13,F13_ba,ba,6,2,0.3333333333333333,A,2,False,False
exploratory,F13,F13_ma,ma,6,2,0.3333333333333333,A,2,False,False
exploratory,F18,F18_bare,bare,6,1,0.16666666666666666,B,4,True,False
exploratory,F18,F18_ba,ba,6,1,0.16666666666666666,B,3,False,False
exploratory,F18,F18_ma,ma,6,1,0.16666666666666666,B,3,False,False
exploratory,F33,F33_bare,bare,6,0,0.0,C,3,False,False
exploratory,F33,F33_ba,ba,6,0,0.0,C,3,False,False
exploratory,F33,F33_ma,ma,6,3,0.5,C,3,False,False
